,symbol,meaning
2116,Lúpulo: ,Amor sincero y devoto. Fidelidad. Matrimonio feliz y alegría en el hogar. 
2117,Lustrar: ,Anuncia éxito en un destino diferente del que usted conoce. 
2118,Luto: ,"-Estar de luto anuncia preocupaciones familiares y graves problemas difíciles de resolver. -Ver a otra persona llevando luto indica separación afectiva, alejamiento de la persona amada. "
2119,Luz: ,"La luz siempre simboliza el conocimiento, la revelación, la claridad. -Si en nuestros sueños existe una buena iluminación indica confianza en nosotros mismos. -Si la luz nos produce una sensación de incomodidad evidencia falta de confianza en nosotros mismos. Sentimientos de inferioridad.  -Si en medio de la oscuridad aparece una llamita, un punto de luz es que aparece una esperanza. -Si de repente se enciende la luz indica que conoceremos cosas que estaban ocultas. -Si se apaga es todo lo contrario. "
2120,Macizo: ,soñar con un macizo de flores significa próximas confidencias amorosas. 
2121,Madeja: ,"Siempre anuncia líos y embrollos, salvo si el hilo es de seda, en cuyo caso nuestras buenas cualidades nos permitirán solucionar todos los problemas y alcanzar la riqueza tarde o temprano. "
2122,Madera: ,Simboliza la materia prima. -Soñarla en forma de ramas secas apiladas junto a una casa o en el interior presagia enfermedad o pobreza. -Las mismas ramas atadas y trasladadas en hombros auguran trabajos pesados y mal remunerados. -La madera cortada en tacos o en tablas son un sueño de riqueza y satisfacciones. 
2123,Madre: ,"Simboliza la vida y la muerte. La madre es la seguridad, el abrigo, el calor, la ternura; pero también es el riesgo de opresión y de ahogo. Cuando la madre aparece en sueños la situación del soñador es particularmente importante en bien o en mal. -Soñar con nuestra madre revela estados de profunda ansiedad. -Viajar con ella significa el deseo de recuperar ciertas claves de nuestra vida ancladas en la infancia. -Oír que nos llama indica tristeza por su ausencia o una conciencia culpable. -Pelearse con la madre implica la necesidad y el profundo deseo de prescindir de su tutela, de adquirir madurez e independencia. -Un sueño incestuoso con nuestra madre indica inseguridad y temor, y el deseo de volver a la infancia para sentirnos protegidos y mimados. -Soñarla muerta cuando en la realidad está viva revela el deseo de emanciparse del hogar y de su tutela. "
2124,Madreselva: ,"Fidelidad en el amor, ternura en el hogar. Unión feliz. "
2125,Madriguera: ,Apremios en la ejecución de sus negocios. 
2126,Madrina: ,Sostén y apoyo en momentos difíciles y angustiosos.  
2127,Maestro: ,-Si soñamos que somos nosotros el maestro indica deseos de superioridad. -Si vemos a un maestro o hablamos con él es que necesitamos un consejo práctico. 
2128,"Magia, mago: ",Revela que nos hallamos en una situación aparentemente insoluble y que desearíamos que ocurriera algún milagro que nos ayude a salir de la misma. 
2129,Magistrado: ,Soñar con los magistrados o la justicia revela ansiedad acerca de nuestra situación. -Soñar con un magistrado refleja nuestra esperanza de que nos ayuden a superar una situación temerosa o infravalorada. -Si se nos está juzgando indica que creemos hallarnos en manos del azar. No importa si el resultado del juicio es favorable o no. -Si nos soñamos haciendo de magistrado o de jurado revela que debemos tomar una decisión que creemos importante y no sabemos por que lado inclinarnos. 
2130,Magnolia: ,Simboliza a una persona extremadamente bella y de agradables maneras. 
2131,Maíz: ,"Se considera un bien inapreciable. Significa riqueza y feliz culminación del trabajo. La riqueza será proporcional a la cantidad de maíz soñada, del mismo modo lo que le ocurra al maíz, en bien o en mal, será lo que le ocurra a nuestra riqueza. Soñar con maíz sobre la cama augura un próximo embarazo. "
2132,Majada: ,Indica que las dificultades desaparecerán de su hogar. 
2133,Malabarista: ,Si realizamos malabarismos con éxito saldremos fortalecidos de la situación actual. Si los realizamos sin éxito fracasaremos o tendremos pérdidas económicas.
2134,- - Maldecir: ,La inconstancia de su amor le impide cualquier posibilidad de entendimiento con quienes le rodean. 
2135,Maledicencia: ,Algunas iniciativas de los demás contendrán elementos que perturbarán sus actividades. 
2136,Maleta: ,"Revela el deseo inconsciente de huir de una situación, ocupación o persona que nos está agobiando. -Si no se termina de hacer la maleta indica que el soñador se siente frustrado por algo concerniente a su vida diaria pero sin llegar a desear la huida. -Si llevamos una maleta pesada, enorme, revela que existe en nosotros algún secreto que nos atormenta y del que desearíamos liberarnos.  -Si nos roban la maleta o la perdemos revela que sospechamos que alguien nos explota o intenta apoderarse de nuestros bienes. "
2137,Maleza: ,Indica obstáculos para la realización de sus deseos. 
2138,Malhechor: ,"Refleja nuestro temor a perder algo, a que nos lo quiten. Si somos nosotros el malhechor revela nuestro temor a estar usurpando los derechos de otra persona. "
2139,Mallas: ,"-Debatirse dentro de una malla significa sentirse aprisionado e indefenso en una situación difícil por un vínculo sentimental o por un vicio o costumbre de la cual se desea salir. -Si no salimos de ella indica que nos hemos resignado. -Si estamos pescando lo que intentamos es retener son los recuerdos y sentimientos. -También el pescar puede indicar el deseo de profundizar en nosotros mismos para descubrir nuestro más íntimo ser y procurar mejorarlo. -Si se nos rompe la malla dejando escapar todo lo que hemos capturado revela el miedo a perder lo que habíamos conseguido. -Soñar que reparamos una malla es el ansia de impedir o de remediar un error, una imprudencia o una falta cometida que podría ser un peligro para la continuidad de dicho afecto. -hay sueños en los que intentamos cazar pájaros y la atmósfera y los sentimientos que despiertan en nosotros no dejan ninguna duda de que se trata de un sueño místico. "
2140,Maltratar: ,Intenciones o actos malévolos de parientes cercanos o relaciones íntimas. 
2141,Malva: ,Prosperidad y riqueza a veces por herencia. 
2142,Mamar: ,Seguridad afectiva. Serenidad del corazón y del espíritu. 
2143,Mamas: ,"Es un símbolo de maternidad, de dulzura y seguridad. Se asocia a imágenes de intimidad, de ofrenda y de refugio. Siempre que el sueño concuerde con los sentimientos antes descritos significará: -En el caso de soñarlo una mujer presagia fecundidad o preñez. -Para un niño, protección y seguridad. -Para un hombre, amor e intimidad. Si los sentimientos son tristes o melancólicos revelan nostalgia de la infancia y el pasado. En pocas ocasiones puede tratarse de un sueño erótico.  "
2144,Mamut: ,Poder y solidez en una situación envidiable de la cual sacará provecho. 
2145,Manantial: ,"Simboliza la fuerza vital del hombre y de todos los seres. Los sueños en los que aparece un manantial ponen de relieve nuestras esperanzas de regeneración, de purificación o de iniciación en los misterios de la vida. -Si el manantial soñado está seco es que todas las esperanzas son vanas. -Si se nos impide beber en el es que todavía debemos esperar algún tiempo antes de que se conviertan en realidad. -Si podemos beber del manantial y su agua es clara y fresca es que todas nuestras necesidades serán satisfechas. -Si el agua mana turbia amenaza ruina moral o material. -Si el manantial nace en nuestro jardín es el mejor símbolo de prosperidad en todos los sentidos. "
2146,Manchas: ,"-En los jóvenes los sueños de manchas suelen revelar el temor a la sexualidad y sus consecuencias. -Si se trata de manchas que aparecen por la acción del tiempo revelan que existe un acontecimiento o un hecho que no es actual o futuro sino que permanece anclado en el pasado, o que sus consecuencias provienen del pasado. "
2147,Manco: ,"Simbolizan la acción, la amistad y la fuerza. -Vernos sin brazos, amenaza de próxima ruina. -Nos falta un brazo, enfermedad. "
2148,Mandar: ,"Algunas personas de su círculo se aprovecharán de su ingenuidad, de su bondad, de su falta de autoridad. "
2149,Mandarina: ,"-Si se encuentra en buen estado se trata de un presagio venturoso y sumamente positivo que nos habla de amor y matrimonio. De amor puro, cálido y apasionado que nos promete numerosa descendencia. -Si las flores se hallan marchitas o las mandarinas pasadas se trata de amores que se extinguen o que no hemos sabido aprovechar. "
2150,Mandíbula: ,"Simboliza la fuerza de voluntad. El tamaño de la misma revelará la fuerza de voluntad, mayor o menor, del poseedor de la mandíbula soñada.  "
2151,Mandolina: ,"Nostalgia afectiva, penas y lamentos. "
2152,Mangas: ,"-Amplias y limpias indica actividades fructíferas. -Estrechas y sucias, dificultades profesionales. "
2153,Manillar: ,El manillar de una bicicleta mantenido con firmeza nos informa de que igualmente sostendremos nuestro destino. 
2154,Maniquí: ,Placeres y goces efímeros. 
2155,Mano: ,"Simboliza nuestros medios de acción. La mano derecha corresponde a lo racional, consciente, lógico y viril. La izquierda, lo irracional, lo ilógico, lo inconsciente y lo pasivo. -Manos grandes, fuertes y bien estructuradas indica éxito y progreso. -Pequeñas, débiles y feas indica imprudencia, inseguridad, insatisfacción y fracaso. -Manos blancas y limpias, éxito fácil. -Negras y duras, trabajos penosos y éxito difícil. (salvo que seamos de raza negra) -Manos peludas, sórdida imaginación. -Manos unidas, tensión emocional. -Mirarse las manos, perplejidad. "
2156,Mansión: ,De hermosa construcción y con aspecto cuidado indica que sus aspiraciones se concretarán de manera inesperada. 
2157,Manteca: ,"Éxito y prosperidad, sobre todo si nos la vierten sobre la cabeza. Si se rompe un recipiente lleno de manteca indica desgracia. "
2158,Mantel: ,"-Si el mantel es blanco y hermoso y está sobre la mesa anuncia prosperidad para la casa. -Si está manchado, sucio o arrugado es que nos esperan problemas y complicaciones que podríamos haber evitado. "
2159,Mantequilla: ,-Augura la fácil adquisición de bienes y riquezas. Cuanta más mantequilla más riquezas. -Si la comemos además de lo anterior añadiremos una agradable sorpresa. -Batir mantequilla augura un nacimiento o una herencia. 
2160,Manto: ," -Llevar en sueños un manto puesto indica protección, éxito, honores y satisfacciones de amor propio, proporcional a la longitud y riqueza del manto. -Dar el manto a otra persona es una forma de entregarnos a la misma. "
2161,Manzana: ,"La manzana simboliza la totalidad, los placeres terrenales, el conocimiento y la necesidad de escoger. -Si comemos de una manzana madura y sabrosa es que escogemos el goce de la vida material. -Si comemos de una manzana verde escogemos también la vida material aunque llena de trabajos y dificultades. -Si está pasada la vida nos amenaza con engaños y desengaños. -Si solo la vemos escogemos otra especie de felicidad más pura, más duradera, más profunda y más espiritual. "
2162,Manzanilla: ,"-Comprarla indica pequeña enfermedad sin importancia. -Beberla, curación, mejora de la salud. "
2163,Mañana: ,-Los sueños que ocurren por la mañana y de madrugada presagian el porvenir que nos queda por delante y que nos aparece como deseable y lleno de esperanzas. -Si el sueño se acompaña de sensaciones desagradables o es un amanecer triste revela que estamos pasando por un período de depresión y desconfianza en el porvenir. 
2164,Mapa: ,Soñar con un mapa denota descontento con nuestra situación actual y el deseo de cambiar de ambiente y de circunstancia. 
2165,Maquillaje: ,"-Si se trata de un maquillaje en su justa medida nos advierte de que en la vida hay que mostrarse siempre algo mejores de lo que somos en realidad. -Si el maquillaje resulta exagerado lo que revela es engaño, duplicidad y traición. "
2166,Máquina: ,"-Si las máquinas trabajan con un buen ritmo auguran éxito y prosperidad. -Si se detienen es que existirán retrasos en nuestros planes y proyectos. -Si trabajan mal, se rompen o nos fallan o si ocurre algún accidente presagian el fracaso y las complicaciones. "
2167,Mar: ,Simboliza el inconsciente colectivo. Cuanto el mar presagia y representa en nuestros sueños se refiere a lo que sucede en nuestro interior.  -Si el mar está en calma también lo está nuestra vida. Vida apacible y tranquila. -Si está agitado también lo está nuestro interior. Complicaciones y problemas. -Caernos en el mar presagia alguna desgracia de la que seremos nosotros los culpables. -Si nos dejamos hundir es que nos resignamos ante lo que consideramos inevitable. -Si intentamos salir a la superficie y mantenernos en ella refleja nuestro deseo de luchar con todas nuestras fuerzas. -Navegar por un mar encrespado significa que nos estamos dejando llevar por un asunto peligroso a pesar de que sabemos del peligro que corremos. 
2168,Margarina: ,-Augura la fácil adquisición de bienes y riquezas. Cuanta más margarina más riquezas. -Si la comemos además de lo anterior añadiremos una agradable sorpresa. 
2169,Margarita: ,"Soñar con margaritas blancas es una promesa de amor, salvo si las deshojamos, en cuyo caso se trata de un amor muy incipiente o de un simple amorío. "
2170,Marinero: ,-Si vemos un marinero en tierra presagia amistad o amor con alguien que aparecerá pronto en nuestra vida para desaparecer de la misma manera. -Si somos nosotros el marinero puede revelar afán de aventura o incertidumbre sobre nuestro futuro. -Si los marineros los soñamos en el mar nos aconseja ser muy prudentes con nuestros asuntos. 
2171,Marioneta: ,Indica que sus sentimientos son inconstantes. Sus decisiones inestables. 
2172,Mariposa: ,"La mariposa simboliza la ligereza, la inconstancia y la imprudencia. En otra faceta simboliza al alma, a la muerte y al renacimiento. -Soñar con mariposas indica ligereza que puede manifestarse en el amor o en los negocios y que nos conducirá a la ruina. -El color nos puede indicar la causa de nuestra ligereza. Por ejemplo: *Si es blanca indica ignorancia. *Amarilla, falta de conocimiento. *Roja indica que nos dejamos arrebatar por las pasiones del momento. *Azul, por la irrealidad de un romanticismo estúpido. -Si la mariposa es nocturna el pronóstico indica que estamos rozando la inmoralidad e incluso a veces la ilegalidad. -Si es diurna no existen intenciones ocultas. Otro significado es el de anunciarnos que en nuestra vida se está iniciando una transformación que nos elevará en lo material y en lo moral.  "
2173,Mariquita: ,Soñar con este insecto nos anuncia buenas noticias y próximas alegrías. 
2174,Mariscos: ,"-Vivos es símbolo de alegría y felicidad. -Muertos, preocupaciones e inconvenientes. Esperanzas frustradas. "
2175,Marisma: ,Soñar con una marisma nos proporciona información sobre nuestras emociones. -Una marisma rodeada por abundante vegetación aumenta el significado de vida y sentimentalidad e indica el deseo de exteriorizar y vivir emociones y pasiones amorosas. -Si las orillas son áridas indica el temor a no conseguir realizar nuestros deseos amorosos. -Si sus aguas son limpias confirma que nuestros sentimientos están bien fundados. -Si las aguas están turbias o agitadas por la tormenta augura amores difíciles. -Lo que digan o hagan las personas que nos acompañen nos informará sobre su verdadera personalidad. -Pescar en la marisma indica nuestro deseo de hallar pareja. -Si la marisma está muy turbia y con peces muertos o está seca indica fracaso de las esperanzas sentimentales. 
2176,Marmita: ,-Llena y sobre el fuego augura noticias interesantes. -Vacía o sin usar indica falta de seguridad. 
2177,Mármol: ,Simboliza frialdad y perennidad. Se refiere a aquellos amores que comienzan siendo indiferentes y fríos pero que luego son sólidos y duraderos. 
2178,Marmota: ,Denota pereza y mucho sueño. 
2179,Marqués/a: ,Reuniones agradables. Promesa de una evolución favorable en sus negocios. 
2180,Marta: ,Soñar con este animal nos advierte de riesgo de pérdidas de dinero por abuso de confianza. 
2181,Martillo: ,"Simboliza algún asunto, trabajo o negocio que nos procurará provecho después de usarlo largamente. "
2182,Mártir: ,-Si aparecemos como mártires indica que existe un grave complejo de culpabilidad. -Si somos los que martirizamos denota que no queremos que nos dominen.  
2183,Masacre: ,Indica que tenemos graves conflictos internos. Se impone un análisis. Debemos desahogarnos haciendo por ejemplo deporte. 
2184,Masaje: ,Nuestro cuerpo nos previene de un fallo en nuestra salud. 
2185,Máscara: ,Simboliza ocultación y engaño. -Si somos nosotros los que la llevamos puesta es que deseamos ocultar a los demás alguna característica o facetas de nuestro caracter de la que no estamos satisfechos. Si nos miramos al espejo con ella puesta indica que si pudieramos nos lo ocultaríamos a nosotros mismos. -Si son los demás los que están enmascarados se trata de personas conocidas en la vida real de quienes no queremos reconocer su comportamiento hacia nosotros. Este sueño nos advierte que se está tramando algo a nuestras espaldas. 
2186,Masticar: ,"-Si soñamos que masticamos algo que no nos gusta presagia que deberemos enfrentarnos a algo desagradable. También el significado es el mismo si tenemos dificultades al tragar. -Masticar acompañados revela amistad y afinidad con los demás. -Masticar solos, tristeza y depresión. -Si masticamos alimentos naturales y sencillos significa que estamos aprovechando bien las experiencias de la vida. -Si masticamos dulces significa que tenemos vivencias sentimentales agradables y positivas. "
2187,Matadero: ,"-Si lo vemos lleno de animales se trata de un presagio feliz de éxito. -Si está vacío indica dolor, penas y preocupaciones. "
2188,Matar: ,"Significa eliminar, hacer desaparecer. -Matar a alguien en sueños revela nuestro deseo de que esta persona deje de interferir en nuestros asuntos. -Ver matar a alguien indica un estado de confusión y desconcierto ante la conducta de los demás. -Si la víctima somos nosotros se trata de un sueño de muerte. (ver el significado de muerte) -Si lo que matamos o vemos matar en sueños es un animal lo que deseamos eliminar es una situación o un hecho molesto, penoso o difícil para nosotros. "
2189,Matemáticas: ,Si estamos en sueños estudiando matemáticas anuncia un próximo encuentro con una persona de gran saber. 
2190,Matorral: , -Ver un matorral indica que tendrá que pasar por algunas dificultades. -Podarlo o atravesarlo indica que se le propondrán soluciones apropiadas. 
2191,Matraca: ,"A pie indica una evolución en su situación. -De caballos augura ingresos de dinero. -De automóviles, deseo profundo de cambio. "
2192,Matrimonio: ,El matrimonio en sueños representa la unión de principios. -Contraer matrimonio en sueños muchas veces refleja el deseo de casarnos. -Si estamos casados y soñamos con otro matrimonio indica una preferencia o deseo momentáneo hacia la persona con la que nos casamos en sueños. -Casarnos con alguien de nuestro propio sexo revela el narcisismos de quien lo sueña. -En algunos casos soñar con el matrimonio presiente algún problema o calamidad que se avecina. 
2193,Maullido: ,Escuchar los maullidos de un gato presagia traiciones y engaños. 
2194,Mausoleo: ,-Si son muy repetitivos estos sueños puede tratarse de una neurosis. -También puede ser la consecuencia de un reciente duelo. -En otros casos indica que estamos pasando por un período de incertidumbre y dudas. -Añoranza del pasado. 
2195,Mayonesa: ,"-Si está bien hecha anuncia alegrías familiares. -Mal hecha, atmósfera desagradable, disputas. "
2196,Mayorista: ,Extensión de sus empresas. Aumento de sus recursos. 
2197,Mazmorra: ,Las cárceles anuncian el cambio de nuestra forma de vida. -Si el carcelero es amable y sonriente o si la puerta está abierta el cambio es inminente. -Si la actitud del carcelero es hosca y la cárcel oscura deberemos reflexionar sobre nuestra conducta a partir de ahora. -Si nuestros sentimientos en el sueño son violentos o desesperados señala que el cambio ha sido en contra de nuestra voluntad. 
2198,Mecánico: ,Promesas de una evolución positiva en sus condiciones financieras. 
2199,Mecanismo: ,"-Si el mecanismo trabaja con un buen ritmo auguran éxito y prosperidad.  -Si se detiene es que existirán retrasos en nuestros planes y proyectos. -Si trabaja mal, se rompe o nos falla o si ocurre algún accidente presagia el fracaso y las complicaciones. "
2200,Mechero: ,Noticias imprevistas y desagradables. 
2201,Medalla: ,"-Honorífica indica que su medio social le estima y aprecia. -Religiosa, paz en el alma. Serenidad en el corazón y en el espíritu. "
2202,Medianoche: ,"-El aspecto positivo de la noche está representado por la presencia de la luna, con ella la noche pierde su peligrosidad. -Aunque con frecuencia tenemos sueños de noche que son negativos, auténticas pesadillas, donde se ven reflejados todos nuestros miedos indecisiones, angustias, peligros y tristezas. -Si un sueño de noche se repite constantemente revela un acusado complejo de inferioridad. "
2203,Medias: ,"-Si soñamos con unas medias pero sin fijarnos en detalles augura una existencia apacible y de razonable felicidad. -Si tienen carreras o están agujereadas nos advierten sobre posibles engaños o falsas promesas. -Quitarse las medias presagia un cambio de situación. -Si las medias son de lana, algodón, hilo o cualquier material sintético, pero en buen estado y agradables a la vista auguran bienestar, beneficios y ganancias. -Si son de seda natural el presagio de riqueza se incrementa y puede provenir de una herencia o donación, más que de beneficios obtenidos por si mismos. -Si son de color muy claras simbolizan amistad. -Si son muy oscuras o negras simbolizan tentación. "
2204,"Medicamentos, médico: ",-Si somos nosotros el doctor este sueño nos aconseja que atendamos tanto al cuerpo como al alma. -Las medicinas simbolizan una ayuda para el cuerpo y para el alma. -Si la medicina es para otra persona será ella quien precise de nuestra ayuda. 
2205,Medidas: ,"-Tomar medidas indica que deberá examinar las características de una situación antes de comprometerse. -Ver a una persona tomar medidas, seremos observados y criticados en nuestro comportamiento y nuestros actos. -Medirse con una persona, clima de conflictos poco deseables. "
2206,Mediodía: ," -En muchos casos en que se sueña con el mediodía no tienen significado profético. -En otros casos se refiere a hechos ya pasados o a como terminarán acontecimientos de su vida privada, amorosa, profesional o pública, pero siempre ya existentes y culminados, nunca incipientes o futuros. "
2207,Meditación: ,Anuncia un período de incertidumbre e interrogación. 
2208,Médula: ,Ganancias financieras discretas pero útiles. Curación o mejora de la salud de alguien conocido. 
2209,Medusa: ,Inconvenientes y desilusiones y si nos pica indica que seremos engañados. 
2210,Megáfono: ,Presagia algún peligro para nosotros o para alguien de las nuestros. 
2211,Mejillas: ,"Simbolizan nuestra salud o la de la persona que contemplamos en sueños. -Unas mejillas bien coloreadas, tersas y suaves nos anuncian salud y bienestar físico. -Unas mejillas hundidas y con mal color revelan el peligro de enfermedad. -Si además del mal aspecto se hallan heridas o manando sangre es el peor presagio. "
2212,Mejillón: ,"-Vivos es símbolo de alegría y felicidad. -Muertos, preocupaciones e inconvenientes. Esperanzas frustradas. "
2213,Mejorana: ,Esta planta simboliza el consuelo. 
2214,Melancolía: ,Tristeza y recuerdos de un período de felicidad. 
2215,Melocotones: ,"El melocotonero simboliza la primavera y la abundancia. -Sus flores son flores matrimoniales. -Su madera proporciona protección mágica. Los melocotones simbolizan prosperidad y amor. -Soñar con un melocotonero presagia que recibiremos protección y ayuda. -Si lo vemos florido presagia felicidad y amor. -Si está lleno de melocotones, especialmente si comemos alguno de ellos, la protección y ayuda serán para conseguir riqueza y felicidad. "
2216,Melón: ,-Si estamos enfermos en la vida real y soñamos con melones es buen presagio pues aseguran una próxima curación.  -Si no estamos enfermos el melón es una fruta de mal agüero que augura salud deficiente. 
2217,Mellizos: ,Noticias sorprendentes y felices. Circunstancias inesperadas. 
2218,Membrillos: ,"Fidelidad en la amistad y en el matrimonio, salvo si están echados a perder, en cuyo caso anuncia próximos problemas afectivos. "
2219,Mendigo: ,"-Si damos limosna a alguien presagia desilusiones y desengaños. -Si vemos a un mendigo sin darle nada nos advierte contra la posibilidad de que suframos pérdidas económicas. -Si el mendigo lo somos nosotros nos anuncia que estamos entrando en un período de dificultades, problemas y mucho trabajo, del que probablemente solo saquemos para ir tirando. "
2220,Menta: ,Anuncia algunos momentos de distensión y satisfacción. 
2221,Mentira: ,"Perfidia, astucia y traición de personas que están cerca de sus sentimientos. "
2222,Mercader: ,Negocios difíciles de tratar. 
2223,Mercado: ,"-El mercado representa el teatro de nuestra existencia externa y material. -Las gentes que vemos son aquellas que están de ordinario en la vida real. -Los corredores y caminos trazados dentro del mercado representan los caminos de nuestra vida. -El mercado y sus puestos de venta nos dicen que en esta vida debemos pagar un precio por cuanto adquirimos y poseemos. -Ver un mercado de lejos, sin detalles y sin hacer nada para acercarnos, suele reflejar una etapa de penurias materiales. -Entrar en el mercado sin llegar a comprar refleja la búsqueda, la necesidad de hallar los medios o el camino más adecuado para la realización de nuestros proyectos y ambiciones. -También el entrar sin comprar puede significar de un simple deseo de promiscuidad que suele aparecer cuando en nuestra vida falta calor humano o comunicación. -No encontrar en el mercado lo que buscamos o sentirnos agobiados por el gentío indica que todavía no es el momento adecuado para lanzarnos activamente a la vida, antes debemos meditar y reflexionar. -Sentirnos agobiados también puede revelar nuestra timidez y retraimiento. "
2224,Mercenario: ,Anuncia hechos indecorosos que le perjudicarán.  
2225,Mercería: ,Actividades menores sin gran motivación. 
2226,Mercurio: ,"Este metal simboliza la adaptación, la rapidez y lo imprevisible. Tiene el poder de purificar y fijar. "
2227,Merengue: ,Promesas dudosas le llevarán a amargas desilusiones. 
2228,Mermelada: ,Anuncia alegrías y placeres familiares. 
2229,Mesa: ,"Es el lugar de nuestras relaciones familiares. -Si se trata de una mesa rectangular refleja que la organización de la familia está más jerarquizada. -Si es cuadrada no existe tanta jerarquía como en la rectangular. -Si es redonda indica la inexistencia de jerarquías en nuestra familia. -Una mesa bien servida simboliza la unión familiar y un agradable porvenir. -Si no hay nadie en la mesa refleja nuestro deseo de comunicación y unión familiar. -Si la mesa se rompe, se cae o le ocurre cualquier accidente, será nuestra unión familiar la que se rompe o le ocurre lo que el accidente simboliza. "
2230,Metamorfosis: ,La interpretación de estos sueños siempre suele ser la misma y consiste en ver que simbolizan los dos términos de la metamorfosis y cual es la evolución producida o el complemento de información que aporta. 
2231,Meteorito: ,Si asistimos a la caída de un meteorito anuncia que graves hechos harán peligrar sus condiciones de vida. 
2232,Metro: ,"Indica un cambio en nuestra vida, pero no lo hacemos solos, sino rodeados de todos los que conocemos. -Subir a un metro repleto de gente refleja la necesidad de relaciones con los demás. -Si el metro está vacío señala nuestra timidez. -Si cuando llega el metro, antes de que subamos al mismo, descienden pasajeros significa que este cambio de vida no es definitivo. -Si solo vemos el metro indica que recibiremos una proposición que puede cambiar nuestra vida aunque todavía no hemos decidido si la aceptaremos o no. "
2233,Microscopio: , Este sueño refleja que usted tiene tendencia a aumentar los hechos y a exagerar los pensamientos o las palabras. 
2234,Miedo: ,"Lo primero que debemos hacer con este sueño es desechar que se trate de miedo por haber visto alguna película o información que nos produzca este temor. Si no es así se refiere a inseguridad o a un miedo real por algo que nos preocupa. Si los sueños de miedo son muy frecuentes, sería conveniente consultar con un especialista dado que pueden reflejar desequilibrios nerviosos que con toda seguridad podrán ser tratados adecuadamente. "
2235,Miel: ,"Simboliza el Yo superior como última consecuencia de un trabajo de elaboración interna sobre sí mismo. Augura riqueza, prosperidad y felicidad, especialmente amorosa. "
2236,Mies: ,"Se considera un bien inapreciable. Significa riqueza y feliz culminación del trabajo. La riqueza será proporcional a la cantidad de mies soñada, del mismo modo lo que le ocurra a la mies, en bien o en mal, será lo que le ocurra a nuestra riqueza. Soñar con mies sobre la cama augura un próximo embarazo. "
2237,Migración: ,Si vemos una migración de pájaros indica un deseo de cambio de ambiente. 
2238,Mijo: ,Paz en el hogar. Medios modestos pero suficientes. 
2239,Milenrama: ,Es una planta cuyo fúnebre significado solo anuncia duelos y lágrimas. 
2240,Militar: ,"Simbolizan el deber y las obligaciones a que nos somete la sociedad. Este sueño suele revelar que estamos sometidos a alguna forma de coacción de la que deseamos liberarnos. -Si somos jóvenes y el sueño no resulta desagradable denota un deseo de integrarse en la colectividad y atenerse a sus normas. -Si el sueño se acompaña de una sensación angustiosa por llevar el uniforme incompleto, mal puesto o en actitud indisciplinada se refiere a que en nuestra vida nos vemos sujetos a coacciones de tipo profesional, familiar o social difícilmente soportables. -Si el clima del sueño es agradable se trata de nuestra supeditación y obediencia a una ley superior que surge de nosotros mismos.  -Si no somos nosotros el militar, ni los vemos como individuos aislados, sino armados y marchando en formación, revela la existencia de algún peligro que amenaza nuestra independencia o seguridad personales. "
2241,Millonario: ,Solo se sueña con ser millonario o con millonarios cuando se es todo lo contrario. Lo que augura o revela es el deseo o la ambición de riquezas. 
2242,Mimbre: ,Indica que estamos abiertos a cualquier idea o sugerencia que pueda ser de alguna utilidad. 
2243,Mimo: ,Descubrimientos inesperados. 
2244,Mimosa: ,"Es un árbol cuya flor expresa tristeza y melancolía, pero también seguridad y certeza, aunque sea la certeza en la otra vida. "
2245,Mina: ,"En sueños las minas se refieren a todos los tesoros y riquezas que todavía no han salido a la luz. -Soñar con una mina para un trabajador, comerciante o empresario es presagio de riqueza y beneficios. -Para un científico presagia descubrimientos o nuevas aplicaciones de la ciencia. -Para un médico, el descubrimiento o la curación de una nueva enfermedad. -Para un político, la fundación de un partido político. "
2246,Ministro: ,-Encontrarlo significa el fracaso de sus esperanzas. -Serlo indica que lograremos cumplir ciertas ambiciones. 
2247,Miosotis: ,Nostalgia de felices recuerdos. 
2248,Mirada: ,-Cuando en sueños miramos fijamente a los ojos de quien tenemos delante revela el temor a dejar traslucir algo que deseamos mantener oculto. -Sentirnos mirados con insistencia pero sin ver los ojos que nos miran denota complejos de culpabilidad. -Si nos soñamos ciegos o con los ojos vendados es indicio de un miedo ilógico a ser engañados o perseguidos o también puede revelar nuestra impotencia ante las circunstancias de la vida real. -Soñar que padecemos de la vista pero sin llevar gafas denota una falta de coraje que nos impide mirar de frente los hechos. -Si acudimos a un oculista indica el deseo de hallar a quien podamos hacer partícipe de nuestros problemas y nos ayude.  
2249,Mirlo: ,Este pájaro anuncia murmuraciones y cotilleos generalmente tan desagradables como su negro plumaje. 
2250,Misa: ,-Cuando rezamos en sueños es que en nuestro interior nos sentimos culpables de algo que de día no queremos reconocer. -También puede revelar que nos hallamos en una situación comprometida de la que no sabemos como salirnos y para ello esperamos una intervención milagrosa que nos saque del apuro. 
2251,"Miseria, mísero: ","Indica disminución de responsabilidad en sus actividades, recursos financieros debilitados, preocupaciones en sus relaciones con los demás. "
2252,Misionero: ,"-Si somos creyentes presagia una ayuda providencial, consuelo, incremento de bienes materiales y espirituales. -Si no somos creyentes, anuncia males y calamidades salvo que nos hablen, en cuyo caso anuncia el fin de nuestros males. "
